* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
400091, CHICAGO TECH HS , Contract , Contract , Traditional , NEAR WEST SIDE , 392 , 3 ,0.8%, 335 ,85.5%, - ,0.0%, - ,0.0%, 50 ,12.8%, 3 ,0.8%, - ,0.0%, 1 ,0.3%, - ,0.0%
609674, CHICAGO VOCATIONAL HS , Network 17 , District , Traditional , AVALON PARK , 575 , 5 ,0.9%, 537 ,93.4%, - ,0.0%, - ,0.0%, 26 ,4.5%, - ,0.0%, - ,0.0%, - ,0.0%, 7 ,1.2%
610060, CHICAGO WORLD LANGUAGE ACADEMY , Network 6 , District , Traditional , NEAR WEST SIDE , 453 , 46 ,10.2%, 161 ,35.5%, - ,0.0%, 1 ,0.2%, 138 ,30.5%, 26 ,5.7%, 81 ,17.9%, - ,0.0%, - ,0.0%
609854, CHOPIN , Network 5 , District , Traditional , WEST TOWN , 300 , 34 ,11.3%, 100 ,33.3%, - ,0.0%, 1 ,0.3%, 157 ,52.3%, 7 ,2.3%, 1 ,0.3%, - ,0.0%, - ,0.0%
609855, CHRISTOPHER , Network 8 , District , Traditional , GAGE PARK , 311 , 7 ,2.3%, 45 ,14.5%, - ,0.0%, - ,0.0%, 258 ,83.0%, - ,0.0%, - ,0.0%, 1 ,0.3%, - ,0.0%
400159, CHRISTOPHER HOUSE , Charter , Charter , Traditional , BELMONT CRAGIN , 430 , 5 ,1.2%, 11 ,2.6%, - ,0.0%, - ,0.0%, 412 ,95.8%, - ,0.0%, - ,0.0%, 1 ,0.2%, 1 ,0.2%
400023, CICS - AVALON/SOUTH SHORE , Charter , Charter , Traditional , AVALON PARK , 436 , - ,0.0%, 433 ,99.3%, - ,0.0%, - ,0.0%, 3 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400024, CICS - BASIL , Charter , Charter , Traditional , NEW CITY , 488 , 1 ,0.2%, 370 ,75.8%, - ,0.0%, - ,0.0%, 103 ,21.1%, 1 ,0.2%, - ,0.0%, - ,0.0%, 13 ,2.7%
400092, CICS - BOND , Charter , Charter , Traditional , RIVERDALE , 258 , - ,0.0%, 247 ,95.7%, - ,0.0%, - ,0.0%, 8 ,3.1%, 1 ,0.4%, - ,0.0%, - ,0.0%, 2 ,0.8%
400025, CICS - BUCKTOWN , Charter , Charter , Traditional , LOGAN SQUARE , 543 , 11 ,2.0%, 119 ,21.9%, - ,0.0%, 2 ,0.4%, 395 ,72.7%, 9 ,1.7%, 2 ,0.4%, - ,0.0%, 5 ,0.9%
400032, CICS - ELLISON HS , Charter , Charter , Traditional , AUBURN GRESHAM , 201 , - ,0.0%, 194 ,96.5%, - ,0.0%, - ,0.0%, 7 ,3.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400027, CICS - IRVING PARK , Charter , Charter , Traditional , IRVING PARK , 505 , 55 ,10.9%, 27 ,5.3%, - ,0.0%, 3 ,0.6%, 387 ,76.6%, 9 ,1.8%, 19 ,3.8%, 5 ,1.0%, - ,0.0%
400033, CICS - LONGWOOD , Charter , Charter , Traditional , WASHINGTON HEIGHTS ," 1,217 ", 1 ,0.1%," 1,192 ",97.9%, - ,0.0%, 2 ,0.2%, 11 ,0.9%, 8 ,0.7%, - ,0.0%, - ,0.0%, 3 ,0.2%
400026, CICS - LOOMIS , Charter , Charter , Traditional , WASHINGTON HEIGHTS , 351 , - ,0.0%, 330 ,94.0%, - ,0.0%, - ,0.0%, 5 ,1.4%, 1 ,0.3%, - ,0.0%, - ,0.0%, 15 ,4.3%
400034, CICS - NORTHTOWN HS , Charter , Charter , Traditional , NORTH PARK , 836 , 123 ,14.7%, 55 ,6.6%, - ,0.0%, 4 ,0.5%, 507 ,60.6%, 7 ,0.8%, 131 ,15.7%, 9 ,1.1%, - ,0.0%
400028, CICS - PRAIRIE , Charter , Charter , Traditional , WEST PULLMAN , 420 , 3 ,0.7%, 264 ,62.9%, - ,0.0%, 1 ,0.2%, 138 ,32.9%, - ,0.0%, - ,0.0%, - ,0.0%, 14 ,3.3%
400029, CICS - WASHINGTON PARK , Charter , Charter , Traditional , WASHINGTON PARK , 483 , - ,0.0%, 432 ,89.4%, - ,0.0%, 1 ,0.2%, 15 ,3.1%, 2 ,0.4%, - ,0.0%, - ,0.0%, 33 ,6.8%
400030, CICS - WEST BELDEN , Charter , Charter , Traditional , BELMONT CRAGIN , 528 , 4 ,0.8%, 36 ,6.8%, - ,0.0%, - ,0.0%, 482 ,91.3%, 5 ,0.9%, 1 ,0.2%, - ,0.0%, - ,0.0%
400031, CICS - WRIGHTWOOD , Charter , Charter , Traditional , ASHBURN , 626 , 2 ,0.3%, 596 ,95.2%, - ,0.0%, 4 ,0.6%, 17 ,2.7%, 4 ,0.6%, - ,0.0%, - ,0.0%, 3 ,0.5%
610347, CLAREMONT , Network 10 , District , Traditional , CHICAGO LAWN , 330 , 1 ,0.3%, 244 ,73.9%, - ,0.0%, - ,0.0%, 84 ,25.5%, - ,0.0%, - ,0.0%, 1 ,0.3%, - ,0.0%
609795, CLARK ES , ISP , District , Traditional , AUSTIN , 141 , 6 ,4.3%, 69 ,48.9%, - ,0.0%, 1 ,0.7%, 60 ,42.6%, 1 ,0.7%, 2 ,1.4%, 2 ,1.4%, - ,0.0%
610244, CLARK HS , ISP , District , Traditional , AUSTIN , 394 , 1 ,0.3%, 383 ,97.2%, - ,0.0%, - ,0.0%, 8 ,2.0%, 2 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
609856, CLAY , Network 13 , District , Traditional , HEGEWISCH , 590 , 36 ,6.1%, 130 ,22.0%, - ,0.0%, 3 ,0.5%, 403 ,68.3%, 16 ,2.7%, 2 ,0.3%, - ,0.0%, - ,0.0%
609759, CLEMENTE HS , Network 15 , District , Traditional , WEST TOWN , 753 , 23 ,3.1%, 206 ,27.4%, - ,0.0%, 1 ,0.1%, 513 ,68.1%, 5 ,0.7%, 3 ,0.4%, 1 ,0.1%, 1 ,0.1%
609857, CLEVELAND , Network 1 , District , Traditional , IRVING PARK , 465 , 45 ,9.7%, 24 ,5.2%, - ,0.0%, 5 ,1.1%, 363 ,78.1%, 11 ,2.4%, 16 ,3.4%, 1 ,0.2%, - ,0.0%
609859, CLINTON , ISP , District , Traditional , WEST RIDGE ," 1,037 ", 115 ,11.1%, 141 ,13.6%, - ,0.0%, 13 ,1.3%, 282 ,27.2%, 10 ,1.0%, 476 ,45.9%, - ,0.0%, - ,0.0%
609861, CLISSOLD , Network 10 , District , Traditional , MORGAN PARK , 479 , 65 ,13.6%, 343 ,71.6%, - ,0.0%, 2 ,0.4%, 53 ,11.1%, 13 ,2.7%, 2 ,0.4%, - ,0.0%, 1 ,0.2%
610199, COLEMON , Network 13 , District , Traditional , WEST PULLMAN , 178 , 1 ,0.6%, 168 ,94.4%, - ,0.0%, - ,0.0%, 9 ,5.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609862, COLES , Network 12 , District , Traditional , SOUTH CHICAGO , 253 , - ,0.0%, 232 ,91.7%, - ,0.0%, - ,0.0%, 11 ,4.3%, 3 ,1.2%, - ,0.0%, - ,0.0%, 7 ,2.8%
610499, COLLINS HS , Network 15 , District , Traditional , NORTH LAWNDALE , 213 , 2 ,0.9%, 203 ,95.3%, - ,0.0%, - ,0.0%, 8 ,3.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610170, COLUMBIA EXPLORERS , ISP , District , Traditional , BRIGHTON PARK , 725 , 4 ,0.6%, 4 ,0.6%, - ,0.0%, 1 ,0.1%, 708 ,97.7%, 1 ,0.1%, 7 ,1.0%, - ,0.0%, - ,0.0%
609863, COLUMBUS , ISP , District , Traditional , WEST TOWN , 272 , 169 ,62.1%, 27 ,9.9%, - ,0.0%, - ,0.0%, 60 ,22.1%, 9 ,3.3%, 6 ,2.2%, - ,0.0%, 1 ,0.4%
609864, COOK , Network 11 , District , Traditional , AUBURN GRESHAM , 279 , - ,0.0%, 261 ,93.5%, - ,0.0%, - ,0.0%, 15 ,5.4%, 2 ,0.7%, - ,0.0%, - ,0.0%, 1 ,0.4%
609866, COONLEY , Network 2 , District , Traditional , NORTH CENTER , 772 , 513 ,66.5%, 17 ,2.2%, - ,0.0%, - ,0.0%, 129 ,16.7%, 71 ,9.2%, 41 ,5.3%, 1 ,0.1%, - ,0.0%
609867, COOPER , Network 7 , District , Traditional , LOWER WEST SIDE , 417 , 4 ,1.0%, 17 ,4.1%, - ,0.0%, - ,0.0%, 393 ,94.2%, 1 ,0.2%, 2 ,0.5%, - ,0.0%, - ,0.0%
609870, CORKERY , ISP , District , Traditional , SOUTH LAWNDALE , 407 , 6 ,1.5%, 56 ,13.8%, - ,0.0%, 1 ,0.2%, 342 ,84.0%, - ,0.0%, 2 ,0.5%, - ,0.0%, - ,0.0%
609761, CORLISS HS , Network 17 , District , Traditional , PULLMAN , 275 , - ,0.0%, 256 ,93.1%, - ,0.0%, - ,0.0%, 17 ,6.2%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
610355, COURTENAY , Network 2 , District , Traditional , UPTOWN , 303 , 18 ,5.9%, 113 ,37.3%, - ,0.0%, 2 ,0.7%, 152 ,50.2%, 7 ,2.3%, 10 ,3.3%, - ,0.0%, 1 ,0.3%
610561, CRANE MEDICAL HS , Network 15 , District , Traditional , NEAR WEST SIDE , 264 , 2 ,0.8%, 233 ,88.3%, - ,0.0%, - ,0.0%, 27 ,10.2%, 1 ,0.4%, - ,0.0%, 1 ,0.4%, - ,0.0%
609873, CROWN , Network 5 , District , Traditional , NORTH LAWNDALE , 107 , - ,0.0%, 93 ,86.9%, - ,0.0%, - ,0.0%, 13 ,12.1%, 1 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%
610003, CUFFE , Network 11 , District , Traditional , AUBURN GRESHAM , 236 , - ,0.0%, 233 ,98.7%, - ,0.0%, - ,0.0%, 3 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610004, CULLEN , Network 13 , District , Traditional , ROSELAND , 169 , 1 ,0.6%, 163 ,96.4%, - ,0.0%, - ,0.0%, 4 ,2.4%, 1 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
609756, CURIE HS , Network 15 , District , Traditional , ARCHER HEIGHTS ," 2,910 ", 36 ,1.2%, 259 ,8.9%, - ,0.0%, 9 ,0.3%," 2,540 ",87.3%, 7 ,0.2%, 58 ,2.0%, 1 ,0.0%, - ,0.0%
609900, CURTIS , Network 13 , District , Traditional , ROSELAND , 318 , 5 ,1.6%, 298 ,93.7%, - ,0.0%, - ,0.0%, 15 ,4.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609833, DAISY BATES , ISP , District , Traditional , AVALON PARK , 217 , - ,0.0%, 214 ,98.6%, - ,0.0%, 1 ,0.5%, 2 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610239, DALEY , Network 8 , District , Traditional , NEW CITY , 502 , 3 ,0.6%, 55 ,11.0%, - ,0.0%, 1 ,0.2%, 442 ,88.0%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.2%
609875, DARWIN , Network 4 , District , Traditional , LOGAN SQUARE , 491 , 42 ,8.6%, 34 ,6.9%, - ,0.0%, 1 ,0.2%, 405 ,82.5%, 4 ,0.8%, 5 ,1.0%, - ,0.0%, - ,0.0%
610521, DAVIS M , ISP , District , Traditional , WEST ENGLEWOOD , 150 , 1 ,0.7%, 126 ,84.0%, - ,0.0%, - ,0.0%, 22 ,14.7%, 1 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
609876, DAVIS N , Network 8 , District , Traditional , BRIGHTON PARK , 526 , 10 ,1.9%, 10 ,1.9%, - ,0.0%, 1 ,0.2%, 502 ,95.4%, - ,0.0%, 3 ,0.6%, - ,0.0%, - ,0.0%
609879, DAWES , Network 10 , District , Traditional , ASHBURN , 945 , 6 ,0.6%, 139 ,14.7%, - ,0.0%, 2 ,0.2%, 794 ,84.0%, 4 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610313, DE DIEGO , Network 5 , District , Traditional , WEST TOWN , 528 , 23 ,4.4%, 104 ,19.7%, - ,0.0%, 1 ,0.2%, 384 ,72.7%, 10 ,1.9%, 3 ,0.6%, 1 ,0.2%, 2 ,0.4%
609880, DECATUR , Network 2 , District , Traditional , WEST RIDGE , 329 , 142 ,43.2%, 13 ,4.0%, - ,0.0%, 1 ,0.3%, 43 ,13.1%, 31 ,9.4%, 99 ,30.1%, - ,0.0%, - ,0.0%
609883, DENEEN , Network 12 , District , Traditional , GREATER GRAND CROSSING , 464 , - ,0.0%, 451 ,97.2%, - ,0.0%, - ,0.0%, 9 ,1.9%, 1 ,0.2%, - ,0.0%, 3 ,0.6%, - ,0.0%
610367, DEPRIEST , Network 3 , District , Traditional , AUSTIN , 483 , - ,0.0%, 434 ,89.9%, - ,0.0%, - ,0.0%, 46 ,9.5%, 3 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
610252, DETT , Network 6 , District , Traditional , NEAR WEST SIDE , 284 , - ,0.0%, 237 ,83.5%, - ,0.0%, 1 ,0.4%, 24 ,8.5%, 2 ,0.7%, - ,0.0%, - ,0.0%, 20 ,7.0%
609884, DEVER , Network 1 , District , Traditional , DUNNING , 745 , 231 ,31.0%, 15 ,2.0%, - ,0.0%, - ,0.0%, 447 ,60.0%, 12 ,1.6%, 18 ,2.4%, 3 ,0.4%, 19 ,2.6%
610402, DEVRY HS , Network 14 , District , Traditional , LINCOLN SQUARE , 130 , 15 ,11.5%, 39 ,30.0%, - ,0.0%, - ,0.0%, 64 ,49.2%, 3 ,2.3%, 8 ,6.2%, 1 ,0.8%, - ,0.0%
609885, DEWEY , Network 8 , District , Traditional , NEW CITY , 264 , 2 ,0.8%, 236 ,89.4%, - ,0.0%, - ,0.0%, 25 ,9.5%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609874, DIRKSEN , Network 1 , District , Traditional , OHARE ," 1,207 ", 780 ,64.6%, 35 ,2.9%, - ,0.0%, 2 ,0.2%, 120 ,9.9%, 7 ,0.6%, 260 ,21.5%, 2 ,0.2%, 1 ,0.1%
610363, DISNEY , Network 2 , District , Traditional , UPTOWN ," 1,417 ", 190 ,13.4%, 738 ,52.1%, - ,0.0%, 12 ,0.8%, 294 ,20.7%, 61 ,4.3%, 121 ,8.5%, 1 ,0.1%, - ,0.0%
610515, DISNEY II ES , Network 14 , District , Traditional , IRVING PARK , 431 , 172 ,39.9%, 31 ,7.2%, - ,0.0%, 2 ,0.5%, 175 ,40.6%, 21 ,4.9%, 30 ,7.0%, - ,0.0%, - ,0.0%
610564, DISNEY II HS , Network 14 , District , Traditional , IRVING PARK , 744 , 126 ,16.9%, 153 ,20.6%, - ,0.0%, 4 ,0.5%, 418 ,56.2%, 11 ,1.5%, 29 ,3.9%, - ,0.0%, 3 ,0.4%
609887, DIXON , Network 12 , District , Traditional , CHATHAM , 464 , 2 ,0.4%, 454 ,97.8%, - ,0.0%, - ,0.0%, 8 ,1.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609891, DOOLITTLE , Network 9 , District , Traditional , DOUGLAS , 262 , - ,0.0%, 260 ,99.2%, - ,0.0%, - ,0.0%, 2 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609893, DORE , Network 10 , District , Traditional , CLEARING , 736 , 126 ,17.1%, 18 ,2.4%, - ,0.0%, - ,0.0%, 573 ,77.9%, 7 ,1.0%, 8 ,1.1%, 4 ,0.5%, - ,0.0%
610245, DOUGLASS HS , Network 15 , District , Traditional , AUSTIN , 35 , - ,0.0%, 34 ,97.1%, - ,0.0%, - ,0.0%, 1 ,2.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609894, DRAKE , Network 9 , District , Traditional , DOUGLAS , 302 , - ,0.0%, 284 ,94.0%, - ,0.0%, - ,0.0%, 15 ,5.0%, - ,0.0%, 1 ,0.3%, - ,0.0%, 2 ,0.7%
609896, DRUMMOND , Network 6 , District , Traditional , LOGAN SQUARE , 336 , 144 ,42.9%, 22 ,6.5%, - ,0.0%, 1 ,0.3%, 90 ,26.8%, 45 ,13.4%, 25 ,7.4%, - ,0.0%, 9 ,2.7%
610364, DUBOIS , Network 13 , District , Traditional , RIVERDALE , 191 , - ,0.0%, 178 ,93.2%, - ,0.0%, - ,0.0%, 13 ,6.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610263, DULLES , Network 9 , District , Traditional , GREATER GRAND CROSSING , 678 , 2 ,0.3%, 654 ,96.5%, - ,0.0%, - ,0.0%, 20 ,2.9%, 2 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
609676, DUNBAR HS , Network 17 , District , Traditional , DOUGLAS , 367 , 1 ,0.3%, 351 ,95.6%, - ,0.0%, - ,0.0%, 13 ,3.5%, - ,0.0%, 1 ,0.3%, - ,0.0%, 1 ,0.3%
610188, DUNNE , Network 13 , District , Traditional , ROSELAND , 200 , - ,0.0%, 198 ,99.0%, - ,0.0%, - ,0.0%, 1 ,0.5%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610352, DURKIN PARK , Network 10 , District , Traditional , ASHBURN , 673 , 21 ,3.1%, 72 ,10.7%, - ,0.0%, 1 ,0.1%, 572 ,85.0%, 7 ,1.0%, - ,0.0%, - ,0.0%, - ,0.0%
610254, DVORAK , Network 7 , District , Traditional , NORTH LAWNDALE , 280 , - ,0.0%, 243 ,86.8%, - ,0.0%, - ,0.0%, 33 ,11.8%, 4 ,1.4%, - ,0.0%, - ,0.0%, - ,0.0%
610587, DYETT ARTS HS , Network 17 , District , Traditional , WASHINGTON PARK , 501 , 2 ,0.4%, 489 ,97.6%, - ,0.0%, - ,0.0%, 8 ,1.6%, 2 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610316, EARHART , Network 12 , District , Traditional , CALUMET HEIGHTS , 201 , - ,0.0%, 191 ,95.0%, - ,0.0%, - ,0.0%, 9 ,4.5%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
609897, EARLE , Network 11 , District , Traditional , WEST ENGLEWOOD , 263 , - ,0.0%, 209 ,79.5%, - ,0.0%, - ,0.0%, 46 ,17.5%, 1 ,0.4%, - ,0.0%, - ,0.0%, 7 ,2.7%
609898, EBERHART , Network 10 , District , Traditional , CHICAGO LAWN ," 1,007 ", 17 ,1.7%, 25 ,2.5%, - ,0.0%, 2 ,0.2%, 961 ,95.4%, 2 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
609899, EBINGER , Network 1 , District , Traditional , EDISON PARK , 694 , 557 ,80.3%, 8 ,1.2%, - ,0.0%, - ,0.0%, 84 ,12.1%, 15 ,2.2%, 29 ,4.2%, 1 ,0.1%, - ,0.0%
609901, EDGEBROOK , Network 1 , District , Traditional , FOREST GLEN , 505 , 283 ,56.0%, 5 ,1.0%, - ,0.0%, - ,0.0%, 110 ,21.8%, 51 ,10.1%, 54 ,10.7%, - ,0.0%, 2 ,0.4%
609794, EDISON , Network 1 , District , Traditional , ALBANY PARK , 266 , 152 ,57.1%, 7 ,2.6%, - ,0.0%, 1 ,0.4%, 29 ,10.9%, 33 ,12.4%, 43 ,16.2%, 1 ,0.4%, - ,0.0%
610523, EDISON PARK , Network 1 , District , Traditional , NORWOOD PARK , 427 , 288 ,67.4%, 6 ,1.4%, - ,0.0%, - ,0.0%, 104 ,24.4%, 8 ,1.9%, 20 ,4.7%, - ,0.0%, 1 ,0.2%
609903, EDWARDS , Network 8 , District , Traditional , ARCHER HEIGHTS ," 1,219 ", 28 ,2.3%, 15 ,1.2%, - ,0.0%, 3 ,0.2%," 1,159 ",95.1%, 2 ,0.2%, 7 ,0.6%, 1 ,0.1%, 4 ,0.3%
609904, ELLINGTON , Network 3 , District , Traditional , AUSTIN , 493 , - ,0.0%, 437 ,88.6%, - ,0.0%, 1 ,0.2%, 54 ,11.0%, - ,0.0%, 1 ,0.2%, - ,0.0%, - ,0.0%
610592, ENGLEWOOD STEM HS , Network 16 , District , Traditional , ENGLEWOOD , 611 , 1 ,0.2%, 518 ,84.8%, - ,0.0%, - ,0.0%, 88 ,14.4%, 3 ,0.5%, - ,0.0%, 1 ,0.2%, - ,0.0%
400094, EPIC HS , Charter , Charter , Traditional , SOUTH CHICAGO , 267 , 3 ,1.1%, 146 ,54.7%, - ,0.0%, - ,0.0%, 111 ,41.6%, - ,0.0%, - ,0.0%, - ,0.0%, 7 ,2.6%
609907, ERICSON , Network 5 , District , Traditional , EAST GARFIELD PARK , 315 , - ,0.0%, 310 ,98.4%, - ,0.0%, 1 ,0.3%, 4 ,1.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400039, ERIE , Charter , Charter , Traditional , WEST TOWN , 391 , 7 ,1.8%, 62 ,15.9%, - ,0.0%, - ,0.0%, 314 ,80.3%, 7 ,1.8%, - ,0.0%, - ,0.0%, 1 ,0.3%
609908, ESMOND , Network 10 , District , Traditional , MORGAN PARK , 261 , 1 ,0.4%, 245 ,93.9%, - ,0.0%, - ,0.0%, 15 ,5.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609909, EVERETT , ISP , District , Traditional , MCKINLEY PARK , 99 , 6 ,6.1%, 2 ,2.0%, - ,0.0%, - ,0.0%, 78 ,78.8%, 5 ,5.1%, 8 ,8.1%, - ,0.0%, - ,0.0%
610319, EVERGREEN , Network 8 , District , Traditional , MCKINLEY PARK , 198 , 5 ,2.5%, 7 ,3.5%, - ,0.0%, - ,0.0%, 181 ,91.4%, - ,0.0%, 4 ,2.0%, 1 ,0.5%, - ,0.0%
610362, EVERS , Network 11 , District , Traditional , WASHINGTON HEIGHTS , 207 , 1 ,0.5%, 196 ,94.7%, - ,0.0%, - ,0.0%, 9 ,4.3%, - ,0.0%, - ,0.0%, 1 ,0.5%, - ,0.0%
610565, EXCEL ENGLEWOOD HS , Options , Contract , Options , ENGLEWOOD , 271 , - ,0.0%, 258 ,95.2%, - ,0.0%, 1 ,0.4%, 10 ,3.7%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
400175, EXCEL SOUTH SHORE HS , Options , Contract , Options , SOUTH SHORE , 208 , 3 ,1.4%, 174 ,83.7%, - ,0.0%, - ,0.0%, 31 ,14.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400176, EXCEL SOUTHWEST HS , Options , Contract , Options , CHICAGO LAWN , 155 , - ,0.0%, 104 ,67.1%, - ,0.0%, - ,0.0%, 45 ,29.0%, 3 ,1.9%, 1 ,0.6%, 2 ,1.3%, - ,0.0%
610057, FAIRFIELD , Network 10 , District , Traditional , CHICAGO LAWN , 472 , 1 ,0.2%, 72 ,15.3%, - ,0.0%, - ,0.0%, 397 ,84.1%, 2 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609910, FALCONER , Network 3 , District , Traditional , BELMONT CRAGIN , 842 , 20 ,2.4%, 7 ,0.8%, - ,0.0%, 2 ,0.2%, 806 ,95.7%, 3 ,0.4%, 4 ,0.5%, - ,0.0%, - ,0.0%
610055, FARADAY , Network 5 , District , Traditional , EAST GARFIELD PARK , 157 , - ,0.0%, 154 ,98.1%, - ,0.0%, - ,0.0%, 3 ,1.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609912, FARNSWORTH , Network 1 , District , Traditional , JEFFERSON PARK , 506 , 182 ,36.0%, 19 ,3.8%, - ,0.0%, 1 ,0.2%, 217 ,42.9%, 14 ,2.8%, 72 ,14.2%, 1 ,0.2%, - ,0.0%
609704, FARRAGUT HS , Network 16 , District , Traditional , SOUTH LAWNDALE , 489 , 2 ,0.4%, 48 ,9.8%, - ,0.0%, 1 ,0.2%, 435 ,89.0%, 1 ,0.2%, 1 ,0.2%, - ,0.0%, 1 ,0.2%
609705, FENGER HS , Network 17 , District , Traditional , ROSELAND , 210 , 2 ,1.0%, 203 ,96.7%, - ,0.0%, - ,0.0%, 5 ,2.4%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609917, FERNWOOD , Network 13 , District , Traditional , WASHINGTON HEIGHTS , 258 , - ,0.0%, 241 ,93.4%, - ,0.0%, - ,0.0%, 4 ,1.6%, 2 ,0.8%, - ,0.0%, - ,0.0%, 11 ,4.3%
609918, FIELD , Network 2 , District , Traditional , ROGERS PARK , 152 , 6 ,3.9%, 47 ,30.9%, - ,0.0%, 1 ,0.7%, 79 ,52.0%, 7 ,4.6%, 8 ,5.3%, - ,0.0%, 4 ,2.6%
609967, FINKL , Network 7 , District , Traditional , LOWER WEST SIDE , 214 , 11 ,5.1%, 29 ,13.6%, - ,0.0%, - ,0.0%, 171 ,79.9%, 1 ,0.5%, 1 ,0.5%, 1 ,0.5%, - ,0.0%
610595, FISHER , Network 4 , District , Early Childhood , LINCOLN PARK , 124 , 46 ,37.1%, 24 ,19.4%, - ,0.0%, 1 ,0.8%, 21 ,16.9%, 11 ,8.9%, 13 ,10.5%, - ,0.0%, 8 ,6.5%
609919, FISKE , Network 9 , District , Traditional , WOODLAWN , 379 , 1 ,0.3%, 360 ,95.0%, - ,0.0%, - ,0.0%, 9 ,2.4%, 3 ,0.8%, 1 ,0.3%, - ,0.0%, 5 ,1.3%
609708, FOREMAN HS , Network 14 , District , Traditional , PORTAGE PARK , 607 , 24 ,4.0%, 93 ,15.3%, - ,0.0%, 1 ,0.2%, 484 ,79.7%, 1 ,0.2%, 4 ,0.7%, - ,0.0%, - ,0.0%
609924, FORT DEARBORN , Network 11 , District , Traditional , WASHINGTON HEIGHTS , 309 , - ,0.0%, 297 ,96.1%, - ,0.0%, - ,0.0%, 9 ,2.9%, 3 ,1.0%, - ,0.0%, - ,0.0%, - ,0.0%
609927, FOSTER PARK , Network 11 , District , Traditional , AUBURN GRESHAM , 345 , 1 ,0.3%, 327 ,94.8%, - ,0.0%, - ,0.0%, 17 ,4.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609926, FRANKLIN , Network 4 , District , Traditional , NEAR NORTH SIDE , 359 , 88 ,24.5%, 192 ,53.5%, - ,0.0%, - ,0.0%, 48 ,13.4%, 19 ,5.3%, 12 ,3.3%, - ,0.0%, - ,0.0%
610503, FRAZIER PROSPECTIVE , ISP , District , Traditional , NORTH LAWNDALE , 134 , - ,0.0%, 127 ,94.8%, - ,0.0%, - ,0.0%, 7 ,5.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609928, FULLER , Network 9 , District , Traditional , GRAND BOULEVARD , 291 , - ,0.0%, 280 ,96.2%, - ,0.0%, 1 ,0.3%, 8 ,2.7%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
609929, FULTON , Network 8 , District , Traditional , NEW CITY , 327 , 1 ,0.3%, 81 ,24.8%, - ,0.0%, 2 ,0.6%, 241 ,73.7%, 2 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
609930, FUNSTON , Network 4 , District , Traditional , LOGAN SQUARE , 434 , 9 ,2.1%, 25 ,5.8%, - ,0.0%, - ,0.0%, 396 ,91.2%, 2 ,0.5%, 1 ,0.2%, - ,0.0%, 1 ,0.2%
609709, GAGE PARK HS , Network 16 , District , Traditional , GAGE PARK , 348 , 4 ,1.1%, 101 ,29.0%, - ,0.0%, - ,0.0%, 241 ,69.3%, 1 ,0.3%, - ,0.0%, 1 ,0.3%, - ,0.0%
